,Name,Nationality,Club,Age,BP,Position,Total Stats,OVA,POT,Height,Weight,foot,Value,Wage
49,S. Petrov,Bulgaria,Aston Villa,32,CM,,1920,76,76,180.34,77.11,Right,2200000,20000
50,Tarantini,Portugal,Rio Ave FC,36,CM,,1923,72,72,187.96,78.02,Right,975000,6000
51,S. Wright-Phillips,England,New York Red Bulls,34,CAM,,1744,68,68,165.1,63.96,Right,425000,6000
52,Yuri,Brazil,SD Ponferradina,37,ST,ST,1755,71,71,185.42,78.02,Right,850000,6000
53,J. O'Shea,Republic of Ireland,Reading,37,CB,CB,1463,66,66,190.5,83.91,Right,45000,7000
54,Ricardo Carvalho,Portugal,Portugal,38,CB,CB,1703,79,79,182.88,78.93,Right,0,0
55,M. Ballack,Germany,Bayer 04 Leverkusen,34,CM,,2181,80,80,187.96,88.0,Right,3200000,30000
56,Dida,Brazil,Internacional,39,GK,GK,1274,75,75,195.57999999999998,84.82,Left,0,30000
57,B. Schneider,Germany,Bayer 04 Leverkusen,34,CF,RM,1602,80,88,177.8,81.19,Right,0,0
58,Simão,Portugal,RCD Espanyol,33,CAM,LM CAM,1851,74,74,170.18,63.96,Right,1200000,35000
59,A. Radomski,Poland,Cracovia,34,CB,,1698,63,63,177.8,77.11,Right,50000,2000
60,G. Gattuso,Italy,FC Sion,34,CDM,CDM CM RM,1858,78,78,177.8,77.11,Right,825000,20000
61,C. Reyna,United States,New York Red Bulls,33,CM,CM,1555,76,80,177.8,71.21,Right,0,0
62,Cafu,Brazil,Milan,37,CF,RB,1641,83,88,175.26,74.84,Right,0,0
63,M. Oddo B,Italy,Lecce,35,CM,,1999,71,71,182.88,76.2,Right,130000,6000
64,B. Mendy,France,Stade Brestois 29,31,CB,RB,1693,63,63,180.34,77.11,Right,120000,4000
65,M. Owen,England,Stoke City,32,ST,ST CF,1751,74,74,172.72,69.85,Right,1800000,10000
66,M. Bagayoko,Mali,Doncaster Rovers,32,ST,,1771,71,71,190.5,79.83,Right,850000,6000
67,J. Carragher,England,Liverpool,34,CB,,1561,77,77,185.42,83.01,Right,825000,20000
68,F. Lampard,England,New York City FC,38,CM,CM CDM CAM,2022,78,78,182.88,88.9,Right,575000,8000
69,Casillas,Spain,FC Porto,38,GK,GK,1300,79,79,185.42,83.91,Left,1300000,8000
70,Figo,Portugal,Inter,35,CF,RW,1591,78,86,180.34,74.84,Right,0,0
71,E. Davids,Netherlands,Barnet,39,CDM,CM CDM LM CAM,1837,64,64,170.18,68.04,Left,1000,0
72,J. Litmanen,Finland,Finland,39,CAM,,1736,75,86,180.34,79.83,Right,0,0
73,P. Kluivert,Netherlands,LOSC Lille,30,ST,,1604,81,81,187.96,79.83,Right,0,0
74,J. Stam,Netherlands,Ajax,34,CB,,1458,82,90,187.96,86.18,Right,0,0
75,E. Gudjohnsen,Iceland,Molde FK,36,CF,,1707,71,71,185.42,88.9,Right,190000,25000
76,N. Anelka,France,West Bromwich Albion,34,ST,ST,1867,77,77,185.42,79.83,Right,2100000,45000
77,A. Gilardino,Italy,Spezia,34,ST,ST,1694,72,72,182.88,78.93,Right,1600000,5000
78,D. Trezeguet,France,Newell's Old Boys,35,ST,ST,1716,74,74,190.5,79.83,Right,1100000,45000
79,M. Jankulovski,Czech Republic,Milan,33,LM,LWB LM LB LW,2044,72,85,182.88,82.1,Left,0,0
80,P. Nedved,Czech Republic,Juventus,35,CF,LM,1708,80,88,177.8,69.85,Right,0,0
81,G. Barry,England,West Bromwich Albion,38,CDM,CDM CM,1833,70,70,182.88,78.02,Left,375000,15000
82,D. Stanković,Serbia,Inter,33,CAM,,1979,78,78,180.34,74.84,Right,2700000,30000
83,F. Ljungberg,Sweden,Celtic,33,RM,,1887,74,83,175.26,73.03,Right,0,0
84,K. Kaladze,Georgia,Genoa,33,CB,,1673,76,76,185.42,76.2,Left,1200000,20000
85,R. Ferdinand,England,Queens Park Rangers,35,CB,CB,1620,75,75,193.04,86.18,Right,550000,25000
86,H. Crespo,Argentina,Parma,35,ST,,1655,76,76,182.88,81.19,Right,1700000,20000
87,A. Cassano,Italy,Sampdoria,33,CAM,CF,1676,76,76,175.26,79.83,Right,3400000,40000
88,L. Donovan,United States,Club León,35,CAM,LM ST,1872,73,73,172.72,69.85,Right,1800000,20000
89,A. Pirlo,Italy,New York City FC,38,CM,CM CDM,1741,77,77,177.8,68.04,Right,2200000,8000
90,R. van Persie,Netherlands,Feyenoord,34,CAM,ST CAM,1876,78,78,187.96,71.21,Left,5500000,20000
91,D. Rommedahl,Denmark,RKC Waalwijk,34,CAM,RM,1658,65,65,177.8,74.84,Right,150000,3000
92,G. Heinze,Argentina,Newell's Old Boys,35,CB,,1784,74,74,177.8,72.12,Left,300000,45000
93,T. Rosický,Czech Republic,Sparta Praha,36,CAM,CAM CM RM,1979,79,79,177.8,72.12,Right,4200000,2000
94,S. Parker,England,Fulham,35,CDM,CDM CM,1969,72,72,175.26,68.95,Right,350000,15000
95,O. Daf,Senegal,FC Sochaux-Montbéliard,35,CB,,1560,64,64,177.8,71.21,Right,45000,2000
96,M. Viduka,Australia,,33,ST,,1487,74,81,187.96,89.81,Right,0,0
97,L. Scaloni,Argentina,Atalanta,36,CB,,1756,65,65,182.88,79.83,Right,0,3000
98,Manuel Pablo,Spain,Deportivo de La Coruña,39,CDM,,1742,67,67,175.26,79.83,Right,0,6000
99,A. Robben,Netherlands,FC Groningen,36,CAM,RM CAM,1970,80,80,180.34,79.83,Left,5000000,12000
100,Y. Benayoun,Israel,Queens Park Rangers,33,CAM,LM CAM RM,1912,76,76,177.8,69.85,Right,1900000,35000
101,S. Eto'o,Cameroon,Atiker Konyaspor,36,ST,ST,2019,81,81,177.8,74.84,Right,6500000,20000
102,C. Bellamy,Wales,Cardiff City,33,CAM,,2003,73,73,175.26,68.95,Right,875000,25000
103,R. van Nistelrooy,Netherlands,Málaga CF,34,ST,,1784,77,77,187.96,79.83,Right,2100000,20000
104,Xavi,Spain,FC Barcelona,34,CAM,CM,2104,86,86,170.18,67.13,Right,15500000,160000
105,M. Heinz,Czech Republic,KSV 1919,31,CF,CAM,1321,64,82,187.96,82.1,Left,0,0
106,C. Porter,England,Crewe Alexandra,36,ST,,1615,63,63,185.42,83.01,Right,130000,2000
107,T. Dellas,Greece,AEK Athens,35,CB,,1566,72,72,198.12,92.99,Right,210000,7000
108,G. Asamoah,Germany,SpVgg Greuther Fürth,33,ST,ST CF RW,1780,66,66,180.34,84.82,Right,325000,3000
109,M. Klose,Germany,Lazio,37,ST,ST,1770,79,79,182.88,83.91,Right,1300000,80000
110,M. Gilks,Scotland,Bolton Wanderers,38,GK,GK,1074,64,64,185.42,81.19,Right,45000,2000
111,A. Stansfield,England,Exeter City,30,ST,ST,1202,57,63,180.34,77.11,Right,0,0
112,C. Lupatelli,Italy,Fiorentina,36,GK,,1145,68,68,187.96,83.91,Left,450000,9000
113,S. Keita,Mali,Roma,35,CB,CDM CM,1954,76,76,182.88,74.84,Left,900000,70000
114,O. Hargreaves   B,England,Manchester City,30,CDM,CDM CM RM RWB,2106,78,78,180.34,73.03,Right,3000000,30000
115,J. Riise,Norway,Aalesunds FK,34,CDM,,2043,72,72,187.96,82.1,Left,1000000,15000
116,A. Friedrich,Germany,Chicago Fire,33,CB,,1683,74,74,185.42,82.1,Right,775000,8000
117,Puyol,Spain,FC Barcelona,35,CB,CB,1853,83,83,177.8,79.83,Right,1300000,100000
118,A. Shevchenko,Ukraine,Ukraine,32,ST,ST,1505,77,85,182.88,72.12,Right,0,0
119,W. Brown,England,Blackburn Rovers,36,CB,CB,1461,66,66,185.42,77.11,Right,0,6000
120,J. Terry,England,Aston Villa,36,CB,CB,1646,76,76,187.96,89.81,Right,1000000,30000
121,A. Smith,England,Notts County,36,CB,CM CDM ST,1666,61,61,180.34,81.19,Right,80000,3000
122,S. Gerrard,England,LA Galaxy,36,CM,CM CDM,2154,81,81,182.88,83.01,Right,1400000,10000
123,Sun Jihai,China PR,China PR,31,CF,RB,1344,64,75,180.34,67.13,Right,0,0
124,P. Robinson,England,Burnley,36,GK,GK,1175,69,69,193.04,89.81,Right,450000,10000
125,J. Koller,Czech Republic,,36,ST,,1580,78,80,203.2,106.14,Right,0,0
126,J. Ángel,Colombia,Atlético Nacional,38,ST,,1653,68,68,185.42,82.1,Right,100000,10000
127,D. Kuyt,Netherlands,Feyenoord,35,ST,CAM,2041,75,75,182.88,83.91,Right,1500000,15000
128,T. Howard,United States,Colorado Rapids,40,GK,GK,1221,71,71,190.5,88.0,Right,240000,3000
129,D. Van Buyten,Belgium,FC Bayern München,35,CB,CB,1575,78,78,198.12,94.8,Right,650000,70000
130,T. Sanneh,United States,,38,CB,,1289,62,72,187.96,86.18,Right,0,0
131,N. Penneteau,France,Sporting de Charleroi,39,GK,GK,1110,73,73,185.42,78.02,Left,400000,6000
132,J. Collins,Wales,Ipswich Town,34,CB,,1542,72,72,187.96,83.01,Right,950000,8000
133,J. Ibehre,England,Cambridge United,36,ST,ST,1502,58,58,193.04,92.08,Right,45000,2000
134,Valerón,Spain,UD Las Palmas,40,CAM,CAM CM,1557,74,74,185.42,76.2,Right,0,15000
135,G. Holt,England,Rochdale,34,ST,,1740,67,67,182.88,78.93,Right,375000,2000
136,Hélder Postiga,Portugal,Rio Ave FC,32,ST,ST,1871,74,74,180.34,76.2,Right,2700000,40000
137,Ricardo Costa,Portugal,Boavista FC,39,CB,CB,1598,73,73,182.88,79.83,Right,550000,5000
138,Y. Touré,Ivory Coast,Olympiacos CFP,35,CM,CM CDM,2073,80,80,190.5,92.08,Right,6000000,2000
139,Alan,Brazil,SC Braga,36,CAM,,1907,74,74,180.34,69.85,Right,275000,10000
140,Quaresma,Portugal,Vitória Guimarães,36,RM,RM LM,1928,79,79,175.26,67.13,Right,4200000,11000
141,Danny,Portugal,Clube Sport Marítimo,34,CAM,CAM LM,1892,76,76,177.8,68.04,Right,3900000,10000
142,Cristiano Ronaldo,Portugal,Juventus,35,ST,ST LW,2221,92,92,187.96,83.01,Right,46000000,220000
143,A. Frei,Switzerland,FC Basel 1893,32,ST,,1977,77,77,180.34,73.94,Right,2800000,40000
144,M. Carrick,England,Manchester United,35,CM,CDM,1970,79,79,187.96,73.94,Right,3000000,90000
145,Rogério Ceni,Brazil,São Paulo,40,GK,GK,1602,75,75,187.96,88.0,Right,0,30000
146,R. Cretaro,Republic of Ireland,Finn Harps,38,CF,CF CAM ST,1531,56,56,165.1,63.96,Right,30000,500
147,L. Toni,Italy,Hellas Verona,38,ST,ST,1541,76,76,193.04,88.0,Right,650000,40000
148,J. Riquelme,Argentina,Boca Juniors,35,CAM,CAM,1885,79,79,182.88,78.93,Right,2500000,80000
149,J. De Guzmán,Canada,Canada,34,CDM,,1787,64,64,170.18,68.04,Right,0,0
150,M. Bordon,Brazil,FC Schalke 04,33,CB,CB,1588,82,84,187.96,89.81,Left,0,0
151,W. Samuel,Argentina,FC Basel 1893,37,CB,CB,1560,74,74,182.88,81.19,Left,0,40000
152,R. Taylor,England,Fleetwood Town,33,CDM,,1895,67,67,177.8,69.85,Right,300000,4000
153,Dédé,Brazil,Borussia Dortmund,32,LM,,2087,75,82,175.26,68.95,Left,0,0
154,D. Pizarro,Chile,Universidad de Chile,38,CM,CM CDM,1775,73,73,170.18,64.86,Right,1000000,8000
155,M. Yepes,Colombia,San Lorenzo de Almagro,39,CB,CB,1508,74,74,185.42,83.01,Left,0,40000
156,O. Mellberg,Sweden,FC København,35,CB,,1634,74,74,187.96,83.01,Right,300000,45000
157,C. Pizarro,Peru,SV Werder Bremen,40,ST,ST,1802,74,74,182.88,83.91,Right,0,19000
158,R. Santa Cruz,Paraguay,Olimpia Asunción,38,ST,ST,1595,73,73,187.96,79.83,Right,1400000,500
159,Capdevila,Spain,Lierse SK,36,CDM,LB,1925,69,69,182.88,78.02,Left,0,6000
160,R. Márquez,Mexico,Club Atlas,38,CB,CB CDM,1754,73,73,182.88,74.84,Right,275000,15000
161,S. Distin,France,Bournemouth,37,CB,,1679,77,77,193.04,88.0,Left,0,30000
162,Ronaldinho,Brazil,Querétaro,34,CAM,CAM ST,1875,78,78,182.88,76.2,Right,4100000,45000
163,J. Krzynówek,Poland,Hannover 96,33,CF,LM,1548,72,79,177.8,73.03,Left,0,0
164,Zé Roberto,Brazil,Palmeiras,40,CAM,CAM LB,2028,74,74,172.72,72.12,Left,0,35000
165,S. Ono,Japan,Hokkaido Consadole Sapporo,38,CAM,CM CAM RM CDM,1414,54,54,175.26,76.2,Right,15000,1000
166,B. Kouassi,Ivory Coast,Angers SCO,33,CB,,1120,62,68,187.96,74.84,Left,0,0
167,S. Nakamura,Japan,Yokohama FC,42,CAM,CAM CF RW,1674,65,65,177.8,71.21,Left,0,1000
168,D. Berbatov,Bulgaria,PAOK,34,ST,ST CAM,1856,80,80,187.96,74.84,Right,7500000,50000
169,H. Sarpei,Ghana,FC Schalke 04,35,CB,,1587,68,68,177.8,73.03,Right,80000,4000
170,D. Drogba,Ivory Coast,,38,ST,ST,1956,81,81,187.96,79.83,Right,0,0
171,K. Källström,Sweden,Djurgårdens IF,34,CM,,2005,77,77,185.42,83.01,Left,4300000,10000
172,A. Cole,England,Derby County,37,CDM,LB,1881,70,70,175.26,66.22,Left,80000,15000
173,A. Thompson,Australia,Melbourne Victory,36,RW,,1614,63,63,175.26,69.85,Right,25000,5000
174,A. Floro Flores,Italy,Chievo Verona,34,CAM,,1834,72,72,182.88,78.02,Right,400000,6000
175,J. Yobo,Nigeria,Fenerbahçe SK,32,CB,,1689,74,74,187.96,76.2,Right,1100000,45000
176,K. Beckerman,United States,Real Salt Lake,38,CDM,CDM CM,1762,68,68,177.8,69.85,Right,190000,2000
177,Ronaldo,Brazil,Corinthians,33,CAM,ST,1739,77,91,182.88,94.8,Right,0,0
178,D. Beasley,United States,Houston Dynamo,37,LWB,LB,1863,68,68,172.72,66.22,Left,100000,3000
179,J. Park,Korea Republic,PSV,32,CAM,CAM RW,1923,78,78,177.8,73.03,Right,4100000,80000
180,Edmilson,Brazil,Ceará Sporting Club,34,CDM,,1745,68,68,185.42,74.84,Right,100000,3000
181,S. Govou,France,Évian Thonon Gaillard FC,32,CAM,,1813,69,69,177.8,77.11,Right,400000,5000
182,S. Diawara,Senegal,OGC Nice,35,CB,CB,1606,73,73,187.96,88.0,Right,400000,25000
183,S. Ameobi,Nigeria,Notts County,35,ST,ST,1591,64,64,190.5,94.8,Right,210000,5000
184,Z. Ibrahimović,Sweden,Milan,38,ST,ST,1996,83,83,195.57999999999998,94.8,Right,9500000,49000
185,P. Mexès,France,Milan,33,CB,CB,1813,77,77,187.96,82.1,Right,3100000,60000
186,B. Cheyrou,France,Toronto FC,36,CDM,CM CDM,1870,68,68,182.88,78.93,Left,275000,4000
187,M. Niang,Senegal,AC Arles Avignon,34,RW,ST,1760,67,67,177.8,79.83,Right,375000,8000
188,J. Dudek,Poland,Real Madrid,37,GK,,1170,72,82,187.96,78.02,Left,0,0
189,J. McFadden,Scotland,Motherwell,33,CAM,ST CAM,1745,66,66,177.8,78.02,Left,425000,3000
190,Mikel Arteta,Spain,Arsenal,33,CM,CM CDM,2056,78,78,175.26,63.96,Right,5000000,70000
191,Joaquín,Spain,Real Betis,38,CAM,LM RM,1959,80,80,177.8,74.84,Right,5000000,22000
192,Xabi Alonso,Spain,FC Bayern München,34,CM,CDM CM,2049,82,82,182.88,79.83,Right,6000000,100000
193,A. Hleb,Belarus,Krylya Sovetov Samara,35,CAM,CAM LW,1756,74,74,185.42,73.03,Right,1300000,20000
194,M. Antonsson,Sweden,FC København,36,CB,,1386,66,66,187.96,79.83,Right,90000,4000
195,R. van der Vaart,Netherlands,Esbjerg fB,35,CAM,CM,1720,67,67,175.26,73.94,Left,325000,3000
196,D. Bonera,Italy,Villarreal CF,37,CB,,1491,75,75,182.88,83.91,Right,450000,20000
197,M. Brighi,Italy,Empoli,37,CM,CM CDM,1872,69,69,177.8,77.11,Right,275000,6000
198,D. Bierofka,Germany,TSV 1860 München,34,CAM,,1861,64,64,177.8,74.84,Right,50000,4000
199,Raúl,Spain,FC Schalke 04,34,CAM,CF ST CAM,1924,81,81,180.34,68.04,Left,4300000,50000
200,M. Essien,Ghana,Panathinaikos FC,33,CDM,CDM CM,1926,74,74,177.8,84.82,Right,1500000,2000
201,M. Zidan,Egypt,1. FSV Mainz 05,29,RW,,1873,75,75,172.72,71.21,Right,2400000,10000
202,J. Olsson,Sweden,Wigan Athletic,35,CB,CB,1484,68,68,193.04,83.91,Left,210000,15000
203,M. Rosenberg,Sweden,Malmö FF,36,ST,ST,1891,72,72,182.88,81.19,Right,1100000,6000
204,C. Samba,Congo,Aston Villa,33,CB,,1449,71,71,195.57999999999998,99.79,Right,950000,20000
205,E. Moretti,Italy,Torino,37,CB,,1568,75,75,182.88,77.11,Left,450000,20000
206,B. Hangeland,Norway,Crystal Palace,34,CB,CB,1464,72,72,195.57999999999998,92.08,Right,650000,15000
207,M. Pedersen,Norway,Tromsø IL,37,CM,CM,1788,68,68,182.88,73.94,Left,275000,2000
208,D. Mobaeck,Sweden,IF Elfsborg,35,CB,,1482,60,60,182.88,78.93,Right,30000,2000
209,S. Proto,Belgium,Lazio,37,GK,GK,1288,75,75,182.88,73.94,Right,675000,22000
210,Gilberto Silva,Brazil,Atlético Mineiro,36,CB,CB,1695,73,73,182.88,73.94,Right,0,35000
211,Júlio César,Brazil,SL Benfica,37,GK,,1263,80,80,185.42,78.93,Left,1000000,9000
212,F. Coloccini,Argentina,San Lorenzo de Almagro,38,CB,CB,1742,71,71,182.88,83.01,Right,475000,9000
213,P. Čech,Czech Republic,Arsenal,36,GK,GK,1161,81,81,195.57999999999998,89.81,Left,2400000,60000
214,A. McGregor,Scotland,Rangers FC,38,GK,GK,1283,74,74,182.88,73.94,Right,575000,21000
215,K. Kurányi,Germany,TSG 1899 Hoffenheim,33,ST,ST,1775,74,74,190.5,88.0,Right,2300000,25000
216,S. Maloney,Scotland,Scotland,33,CAM,,1859,73,73,170.18,68.95,Right,0,0
217,K. Boyd,Scotland,Kilmarnock,34,ST,ST,1648,70,70,185.42,83.01,Right,925000,6000
218,D. Forlán,Uruguay,Uruguay,35,CAM,ST,1939,78,78,180.34,78.02,Right,0,0
219,O. Deschacht,Belgium,SV Zulte-Waregem,39,CB,CB LB,1588,70,70,182.88,81.19,Left,240000,5000
220,Hugo Viana,Portugal,SC Braga,29,CAM,,2083,78,78,177.8,73.94,Left,4700000,30000
221,Fernando Torres,Spain,Sagan Tosu,34,ST,ST,1852,77,77,185.42,78.93,Right,4700000,8000
222,T. Motta,Italy,Paris Saint-Germain,34,CDM,CDM,1944,80,80,187.96,82.1,Left,4500000,80000
223,L. Butelle,France,Angers SCO,37,GK,GK,1095,73,73,187.96,83.91,Left,400000,9000
224,Igor de Camargo,Belgium,KV Mechelen,37,ST,,1778,70,70,187.96,84.82,Right,625000,7000
225,J. Poulsen,Denmark,Melbourne Victory,35,CM,,1753,65,65,180.34,74.84,Right,230000,2000
226,P. Senderos,Switzerland,Houston Dynamo,33,CB,,1416,67,67,187.96,83.91,Right,300000,3000
227,S. Pienaar,South Africa,Sunderland,34,CAM,,1960,75,75,170.18,66.22,Right,2000000,40000
228,K. Keller,United States,Seattle Sounders FC,41,GK,,1169,69,69,187.96,86.18,Right,0,2000
229,J. Defoe,England,Rangers FC,37,ST,ST,1764,73,73,170.18,64.86,Right,1400000,33000
230,D. Bent,England,Burton Albion,33,ST,ST,1645,70,70,180.34,73.03,Right,1100000,10000
231,P. Clarke,England,Tranmere Rovers,38,CB,,1420,63,63,182.88,83.01,Right,70000,2000
232,L. King,England,Tottenham Hotspur,30,CB,,1643,82,82,187.96,86.18,Right,7000000,60000
233,S. Harper,England,Sunderland,40,GK,,1158,69,69,187.96,91.17,Right,170000,4000
234,J. Cavalli,France,AC Ajaccio,37,CAM,,1785,67,67,170.18,64.86,Left,250000,2000
235,S. Cherundolo,United States,Hannover 96,34,RB,RB,1918,73,73,172.72,68.95,Right,400000,25000
236,P. Crouch,England,Burnley,37,ST,ST,1622,72,72,200.66,74.84,Right,900000,30000
237,B. Myhill,Wales,West Bromwich Albion,35,GK,GK,1181,70,70,190.5,92.08,Right,425000,9000
238,T. Cahill,Australia,Millwall,37,ST,CAM ST CM,1904,70,70,177.8,63.96,Right,475000,20000
239,E. van der Sar,Netherlands,Manchester United,39,GK,GK,1272,83,87,198.12,88.9,Right,0,0
240,H. Opdal,Norway,SK Brann,38,GK,GK,1153,65,65,187.96,91.17,Right,50000,750
241,A. Le Tallec,France,US Orléans Loiret Football,34,ST,,1689,65,65,185.42,73.03,Right,275000,3000
242,M. Diarra,Mali,Fulham,32,CB,,1842,75,75,182.88,82.1,Right,850000,30000
243,P. Evra,France,West Ham United,36,CB,LB,1944,75,75,175.26,74.84,Left,775000,50000
244,F. Balmont,France,Dijon FCO,39,CDM,,1783,68,68,167.64000000000001,72.12,Right,220000,4000
245,H. Westermann,Germany,FK Austria Wien,33,CB,,1615,71,71,190.5,87.09,Left,950000,15000
246,C. Brunt,Northern Ireland,Bristol City,35,CM,CM CDM,1925,67,67,185.42,83.91,Left,325000,11000
247,E. Jakupović,Switzerland,Leicester City,35,GK,GK,1116,66,66,190.5,84.82,Right,170000,9000
248,M. Marić,Switzerland,FC Lugano,36,CB,CB,1604,66,66,187.96,83.01,Right,130000,2000
249,R. Reçber,Turkey,Beşiktaş JK,37,GK,GK,1193,73,82,187.96,76.2,Right,0,0
250,D. Murphy,England,Birmingham City,29,LWB,,1917,69,69,182.88,83.91,Left,450000,7000
251,C. Ledesma,Italy,FC Lugano,34,CM,,1970,71,71,180.34,78.02,Right,725000,7000
252,C. Natali,Italy,Sassuolo,35,CB,CB,1440,74,74,193.04,88.9,Right,550000,25000
253,B. Lauth,Germany,TSV 1860 München,31,ST,,1853,69,69,177.8,74.84,Right,575000,9000
254,T. Wiese,Germany,TSG 1899 Hoffenheim,33,GK,,1026,68,68,193.04,110.22,Right,625000,6000
255,Fernando Navarro,Spain,Deportivo de La Coruña,35,CB,LB,1876,74,74,177.8,68.04,Left,1200000,15000
256,E. Adebayor,Togo,Olimpia Asunción,35,ST,ST,1766,74,74,193.04,82.1,Right,2600000,500
257,M. Ambrosini,Italy,Fiorentina,36,CB,,1957,74,74,182.88,72.12,Right,0,35000
258,C. Gordon,Scotland,Celtic,36,GK,GK,1182,71,71,193.04,83.01,Left,400000,15000
